2023-09-13 10:16:53,215 [  17204]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.mediaservice.libgstaudiodecoder
2023-09-13 10:16:53,215 [  17204]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.mediaservice.libgstcamerabin
2023-09-13 10:16:53,215 [  17204]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.mediaservice.libgstmediacapture
2023-09-13 10:16:53,215 [  17204]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.mediaservice.libgstmediaplayer
2023-09-13 10:16:53,215 [  17204]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforminputcontexts.libcomposeplatforminputcontextplugin
2023-09-13 10:16:53,215 [  17204]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforminputcontexts.libibusplatforminputcontextplugin
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqeglfs
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqlinuxfb
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqminimal
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqminimalegl
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqoffscreen
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqvnc
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqwebgl
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platforms.libqxcb
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platformthemes.libqgtk3
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.platformthemes.libqxdgdesktopportal
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.playlistformats.libqtmultimedia_m3u
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.position.libqtposition_geoclue
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.position.libqtposition_geoclue2
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.position.libqtposition_positionpoll
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.position.libqtposition_serialnmea
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.printsupport.libcupsprintersupport
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.renderers.libopenglrenderer
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.renderplugins.libscene2d
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sceneparsers.libgltfsceneexport
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sceneparsers.libgltfsceneimport
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sensorgestures.libqtsensorgestures_plugin
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sensorgestures.libqtsensorgestures_shakeplugin
2023-09-13 10:16:53,216 [  17205]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sensors.libqtsensors_generic
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sensors.libqtsensors_linuxsys
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sqldrivers.libqsqlite
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sqldrivers.libqsqlodbc
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.sqldrivers.libqsqlpsql
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.texttospeech.libqtexttospeech_speechd
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.webview.libqtwebview_webengine
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.qml.Qt.labs.animation.liblabsanimationplugin
2023-09-13 10:16:53,217 [  17206]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.qml.Qt.labs.calendar.libqtlabscalendarplugin
